 LoadAll, Departing,CaptureDate,sailingTime,dayofWeek,DoW,MonthName,MonthNumber
100,HSB,2017-03-23,1550,4,Thu,Mar,3
100,HSB,2017-03-23,1650,4,Thu,Mar,3
100,HSB,2017-03-23,1750,4,Thu,Mar,3
100,HSB,2017-03-23,1905,4,Thu,Mar,3
100,HSB,2017-03-23,1950,4,Thu,Mar,3
11,HSB,2017-03-23,2145,4,Thu,Mar,3
67,HSB,2017-03-24,600,5,Fri,Mar,3
74,HSB,2017-03-24,720,5,Fri,Mar,3
37,HSB,2017-03-24,805,5,Fri,Mar,3
82,HSB,2017-03-24,925,5,Fri,Mar,3
86,HSB,2017-03-24,1015,5,Fri,Mar,3
92,HSB,2017-03-24,1130,5,Fri,Mar,3
100,HSB,2017-03-24,1225,5,Fri,Mar,3
100,HSB,2017-03-24,1335,5,Fri,Mar,3
100,HSB,2017-03-24,1435,5,Fri,Mar,3
100,HSB,2017-03-24,1550,5,Fri,Mar,3
100,HSB,2017-03-24,1650,5,Fri,Mar,3
100,HSB,2017-03-24,1750,5,Fri,Mar,3
100,HSB,2017-03-24,1905,5,Fri,Mar,3
100,HSB,2017-03-24,1950,5,Fri,Mar,3
100,HSB,2017-03-24,2145,5,Fri,Mar,3
32,HSB,2017-03-25,600,6,Sat,Mar,3
65,HSB,2017-03-25,720,6,Sat,Mar,3
60,HSB,2017-03-25,805,6,Sat,Mar,3
96,HSB,2017-03-25,925,6,Sat,Mar,3
100,HSB,2017-03-25,1015,6,Sat,Mar,3
80,HSB,2017-03-25,1130,6,Sat,Mar,3
95,HSB,2017-03-25,1225,6,Sat,Mar,3
67,HSB,2017-03-25,1335,6,Sat,Mar,3
100,HSB,2017-03-25,1435,6,Sat,Mar,3
82,HSB,2017-03-25,1550,6,Sat,Mar,3
100,HSB,2017-03-25,1650,6,Sat,Mar,3
70,HSB,2017-03-25,1750,6,Sat,Mar,3
84,HSB,2017-03-25,1905,6,Sat,Mar,3
24,HSB,2017-03-25,1950,6,Sat,Mar,3
36,HSB,2017-03-25,2145,6,Sat,Mar,3
25,HSB,2017-03-26,720,0,Sun,Mar,3
28,HSB,2017-03-26,805,0,Sun,Mar,3
65,HSB,2017-03-26,925,0,Sun,Mar,3
63,HSB,2017-03-26,1015,0,Sun,Mar,3
53,HSB,2017-03-26,1130,0,Sun,Mar,3
100,HSB,2017-03-26,1225,0,Sun,Mar,3
68,HSB,2017-03-26,1335,0,Sun,Mar,3
